,station_name,lat,lon
4252, '金银湖公园', '30.642415', '114.187079'
4253, '梨园', '30.58079', '114.378113'
4254, '岳家嘴', '30.583453', '114.368279'
4255, '汪家墩', '30.59067', '114.35749'
4256, '徐东', '30.594594', '114.352143'
4257, '徐家棚', '30.597643', '114.342381'
4258, '黄浦路', '30.614068', '114.314679'
4259, '赵家条', '30.62415', '114.303936'
4260, '竹叶山', '30.631138', '114.2936'
4261, '中一路', '30.645819', '114.287636'
4262, '塔子湖', '30.65851', '114.286998'
4263, '宏图大道', '30.675076', '114.284871'
4264, '金潭路', '30.682709', '114.29055'
4265, '汉口北', '30.717697', '114.336081'
4266, '滠口新城', '30.690346', '114.348816'
4267, '滕子岗', '30.680341', '114.347872'
4268, '堤角', '30.672028', '114.344773'
4269, '新荣', '30.661869', '114.341049'
4270, '丹水池', '30.649741', '114.336617'
4271, '徐州新村', '30.637125', '114.32953'
4272, '二七路', '30.630907', '114.325411'
4273, '头道街', '30.623672', '114.320575'
4274, '黄浦路', '30.614068', '114.314679'
4275, '三阳路', '30.605073', '114.308391'
4276, '大智路', '30.598388', '114.30099'
4277, '循礼门', '30.591203', '114.29315'
4278, '友谊路', '30.586861', '114.285056'
4279, '利济北路', '30.583471', '114.276712'
4280, '崇仁路', '30.58009', '114.268448'
4281, '硚口路', '30.577863', '114.256879'
4282, '太平洋', '30.580494', '114.24707'
4283, '宗关', '30.586704', '114.232517'
4284, '汉西一路', '30.591635', '114.225255'
4285, '古田四路', '30.595223', '114.21825'
4286, '古田三路', '30.599332', '114.211196'
4287, '古田二路', '30.603301', '114.203187'
4288, '古田一路', '30.610096', '114.18975'
4289, '舵落口', '30.615632', '114.176236'
4290, '竹叶海', '30.620613', '114.170607'
4291, '额头湾', '30.624476', '114.162303'
4292, '五环大道', '30.623881', '114.145516'
4293, '东吴大道', '30.631177', '114.134977'
4294, '码头潭公园', '30.637972', '114.129912'
4295, '三店', '30.655853', '114.127235'
4296, '径河', '30.666337', '114.127515'
4297, '黄金口', '30.570214', '114.151829'
4298, '孟家铺', '30.570599', '114.180504'
4299, '永安堂', '30.572091', '114.195721'
4300, '玉龙路', '30.570336', '114.207943'
4301, '王家湾', '30.568029', '114.216644'
4302, '十里铺', '30.565466', '114.225736'
4303, '七里庙', '30.562838', '114.238204'
4304, '五里墩', '30.560428', '114.246854'
4305, '汉阳火车站', '30.558232', '114.258859'
4306, '钟家村', '30.554955', '114.272573'
4307, '拦江路', '30.548381', '114.276524'
4308, '复兴路', '39.161674', '117.164818'
4309, '首义路', '30.539335', '114.315701'
4310, '武昌火车站', '30.53661', '114.322818'
4311, '梅苑小区', '30.536894', '114.332547'
4312, '中南路', '30.543756', '114.339526'
4313, '洪山广场', '30.551497', '114.343107'
4314, '楚河汉街', '30.559989', '114.347699'
4315, '青鱼嘴', '30.569808', '114.355954'
4316, '东亭', '30.576573', '114.362103'
4317, '岳家嘴', '30.583453', '114.368279'
4318, '铁机路', '30.590251', '114.37559'
4319, '罗家港', '30.599141', '114.378096'
4320, '园林路', '30.606153', '114.384335'
4321, '仁和路', '30.6113', '114.395912'
4322, '工业四路', '30.613845', '114.413002'
4323, '杨春湖', '30.610838', '114.422685'
4324, '武汉火车站', '30.613165', '114.432237'
4325, '武汉火车站', '30.613165', '114.432237'
4326, '杨春湖', '30.610838', '114.422685'
4327, '工业四路', '30.613845', '114.413002'
4328, '仁和路', '30.6113', '114.395912'
4329, '园林路', '30.606153', '114.384335'
4330, '罗家港', '30.599141', '114.378096'
4331, '铁机路', '30.590251', '114.37559'
4332, '岳家嘴', '30.583453', '114.368279'
4333, '东亭', '30.576573', '114.362103'
4334, '青鱼嘴', '30.569808', '114.355954'
4335, '楚河汉街', '30.559989', '114.347699'
4336, '洪山广场', '30.551497', '114.343107'
4337, '中南路', '30.543756', '114.339526'
4338, '梅苑小区', '30.536894', '114.332547'
4339, '武昌火车站', '30.53661', '114.322818'
4340, '首义路', '30.539335', '114.315701'
4341, '复兴路', '30.54004', '114.30787'
4342, '拦江路', '30.548381', '114.276524'
4343, '钟家村', '30.554955', '114.272573'
4344, '汉阳火车站', '30.558232', '114.258859'
4345, '五里墩', '30.560428', '114.246854'
4346, '七里庙', '30.562838', '114.238204'
4347, '十里铺', '30.565466', '114.225736'
4348, '王家湾', '30.568029', '114.216644'
4349, '玉龙路', '30.570336', '114.207943'
4350, '永安堂', '30.572091', '114.195721'
4351, '孟家铺', '30.570599', '114.180504'
4352, '黄金口', '30.570214', '114.151829'
4353, '径河', '30.666337', '114.127515'
4354, '三店', '30.655853', '114.127235'
4355, '码头潭公园', '30.637972', '114.129912'
4356, '东吴大道', '30.631177', '114.134977'
4357, '五环大道', '30.623881', '114.145516'
4358, '额头湾', '30.624476', '114.162303'
4359, '竹叶海', '30.620613', '114.170607'
4360, '舵落口', '30.615632', '114.176236'
4361, '古田一路', '30.610096', '114.18975'
4362, '古田二路', '30.603301', '114.203187'
4363, '古田三路', '30.599332', '114.211196'
4364, '古田四路', '30.595223', '114.21825'
4365, '汉西一路', '30.591635', '114.225255'
4366, '宗关', '30.586704', '114.232517'
4367, '太平洋', '30.580494', '114.24707'
4368, '硚口路', '30.577863', '114.256879'
4369, '崇仁路', '30.58009', '114.268448'
4370, '利济北路', '30.583471', '114.276712'
4371, '友谊路', '30.586861', '114.285056'
4372, '循礼门', '30.591203', '114.29315'
4373, '大智路', '30.598388', '114.30099'
4374, '三阳路', '30.605073', '114.308391'
4375, '黄浦路', '30.614068', '114.314679'
4376, '头道街', '30.623672', '114.320575'
4377, '二七路', '30.630907', '114.325411'
4378, '徐州新村', '30.637125', '114.32953'
4379, '丹水池', '30.649741', '114.336617'
4380, '新荣', '30.661869', '114.341049'
4381, '堤角', '30.672028', '114.344773'
4382, '滕子岗', '30.680341', '114.347872'
4383, '滠口新城', '30.690346', '114.348816'
4384, '汉口北', '30.717697', '114.336081'
4385, '宏图大道', '30.675076', '114.284871'
4386, '市民之家', '30.666712', '114.30425'
4387, '后湖大道', '30.655751', '114.310692'
4388, '兴业路', '30.647964', '114.310515'
4389, '二七小路', '30.634444', '114.314333'
4390, '罗家庄', '30.629789', '114.311129'
4391, '赵家条', '30.62415', '114.303936'
4392, '惠济二路', '30.618157', '114.297226'
4393, '香港路', '30.610922', '114.291127'
4394, '菱角湖', '30.609928', '114.282375'
4395, '范湖', '30.613241', '114.267108'
4396, '云飞路', '30.611191', '114.258257'
4397, '武汉商务区', '30.604305', '114.2532'
4398, '双墩', '30.593054', '114.238905'
4399, '宗关', '30.586704', '114.232517'
4400, '王家湾', '30.568029', '114.216644'
4401, '龙阳村', '30.559007', '114.212841'
4402, '陶家岭', '30.552096', '114.208956'
4403, '四新大道', '30.540366', '114.201004'
4404, '汉阳客运站', '30.533083', '114.195461'
4405, '三角湖', '30.5224', '114.186405'
4406, '体育中心', '30.507047', '114.178504'
4407, '东风公司', '30.505436', '114.173519'
4408, '沌阳大道', '30.49498', '114.16368'
4409, '金银湖公园', '30.642415', '114.187079'
4410, '金银湖', '30.645266', '114.211541'
