1,1号线,苹果园,"39.9267200632969, 116.177759170532"
2,1号线,古城路,"39.9074401321969, 116.190719604492"
3,1号线,八角游乐园,"39.9075306609866, 116.212692260742"
4,1号线,八宝山,"39.9074648218786, 116.235694885254"
5,1号线,玉泉路,"39.9074319023009, 116.252989768982"
6,1号线,五棵松,"39.9074648218786, 116.273975372314"
7,1号线,万寿路,"39.9074977414405, 116.295046806335"
8,1号线,公主坟,"39.9073989827074, 116.310324668884"
9,1号线,军事博物馆,"39.9074483620918, 116.324701309204"
10,1号线,木樨地,"39.9073989827074, 116.337790489197"
11,1号线,南礼士路,"39.9072014648141, 116.352467536926"
12,1号线,复兴门,"39.9074648218786, 116.356587409973"
13,1号线,西单,"39.9073989827074, 116.374182701111"
14,1号线,天安门西,"39.9074648218786, 116.39169216156"
15,1号线,天安门东,"39.9077610973661, 116.401562690735"
16,1号线,王府井,"39.9080244522792, 116.411476135254"
17,1号线,东单,"39.9083207253464, 116.419973373413"
18,1号线,建国门,"39.9085182400126, 116.435766220093"
19,1号线,永安里,"39.9084524018538, 116.450357437134"
20,1号线,国贸,"39.909275374291, 116.461815834045"
21,1号线,大望路,"39.9082219677997, 116.476621627808"
22,1号线,四惠,"39.9086169971322, 116.498851776123"
23,1号线,四惠东,"39.9084524018538, 116.515996456146"
24,2号线,西直门,"39.9407384219949, 116.355471611023"
25,2号线,车公庄,"39.9323804034909, 116.355772018433"
26,2号线,阜成门,"39.9256340142804, 116.356008052826"
27,2号线,复兴门,"39.9075635805168, 116.35645866394"
28,2号线,长椿街,"39.8993332056035, 116.36323928833"
29,2号线,宣武门,"39.8997282861879, 116.374225616455"
30,2号线,和平门,"39.8999258256259, 116.38409614563"
31,2号线,前门,"39.9003209027936, 116.397829055786"
32,2号线,崇文门,"39.9010452050184, 116.417398452759"
33,2号线,北京站,"39.905061651135, 116.427268981934"
34,2号线,建国门,"39.9086828351328, 116.435852050781"
35,2号线,朝阳门,"39.9246795933462, 116.434564590454"
36,2号线,东四十条,"39.9338941360759, 116.434049606323"
37,2号线,东直门,"39.9413635870695, 116.434049606323"
38,2号线,雍和宫,"39.9489638213671, 116.416282653809"
39,2号线,安定门,"39.9491118694953, 116.406927108765"
40,2号线,鼓楼大街,"39.949227017818, 116.393537521362"
41,2号线,积水潭,"39.9487006239035, 116.373195648193"
42,5号线,天通苑北,"40.0833826766101, 116.412988901138"
43,5号线,天通苑,"40.0754033329828, 116.413133740425"
44,5号线,天通苑南,"40.0663679783473, 116.412945985794"
45,5号线,立水桥,"40.0532500082746, 116.412865519524"
46,5号线,立水桥南,"40.0418585238075, 116.414485573769"
