97,4号线,动物园,"39.9383652104741, 116.340526342392"
98,4号线,西直门,"39.9407507608345, 116.355417966843"
99,4号线,新街口,"39.9406068075672, 116.367664933205"
100,4号线,平安里,"39.9337913020417, 116.373007893562"
101,4号线,西四,"39.9242270615293, 116.37339413166"
102,4号线,灵境胡同,"39.9160892062197, 116.373726725578"
103,4号线,西单,"39.9074113275569, 116.374252438545"
104,4号线,宣武门,"39.8997694402845, 116.374268531799"
105,4号线,菜市口,"39.8892990414913, 116.37442946434"
106,4号线,陶然亭,"39.8785841595009, 116.374391913414"
107,4号线,北京南站,"39.8651583506071, 116.378914117813"
108,4号线,马家堡,"39.8533277927075, 116.371350288391"
109,4号线,角门西,"39.8455480792686, 116.37110888958"
110,4号线,公益西桥,"39.8358726584252, 116.37078166008"
111,13号线,西直门,"39.9407055184117, 116.355428695679"
112,13号线,大钟寺,"39.9665957444875, 116.345064640045"
113,13号线,知春路,"39.9764705953907, 116.339946985245"
114,13号线,五道口,"39.9928953711821, 116.337608098984"
115,13号线,上地,"40.0330364127197, 116.319916248322"
116,13号线,西二旗,"40.0523137936823, 116.306558847427"
117,13号线,龙泽,"40.0708057557306, 116.31959438324"
118,13号线,回龙观,"40.0705430276562, 116.336438655853"
119,13号线,霍营,"40.0706497610587, 116.361211538315"
120,13号线,立水桥,"40.0532253712132, 116.41284942627"
121,13号线,北苑,"40.0430577170796, 116.434564590454"
122,13号线,望京西,"39.9928707123167, 116.446001529694"
123,13号线,芍药居,"39.9778929168098, 116.436098814011"
124,13号线,光熙门,"39.9682813945329, 116.431860923767"
125,13号线,柳芳,"39.9582326611568, 116.432654857635"
126,13号线,东直门,"39.9432719503871, 116.434457302093"
127,八通线,四惠,"39.9086704905125, 116.498883962631"
128,八通线,四惠东,"39.9085017804789, 116.515996456146"
129,八通线,高碑店,"39.9092918336389, 116.532443761826"
130,八通线,传媒大学,"39.909160158745, 116.555317640305"
131,八通线,双桥,"39.9103205350347, 116.577022075653"
132,八通线,管庄,"39.9091766181205, 116.599423885345"
133,八通线,八里桥,"39.9059175846267, 116.618156433105"
134,八通线,通州北苑,"39.9036625060553, 116.637189388275"
135,八通线,果园,"39.8933491024141, 116.646426916122"
136,八通线,九棵树,"39.8901469399037, 116.657584905624"
137,八通线,梨园,"39.8837668643326, 116.668431758881"
138,八通线,临河里,"39.875426592904, 116.678709983826"
139,八通线,土桥,"39.8719889203098, 116.686440110207"
